"doctorid,doctorname,doctordept,doctorloc,doctoremail,password,doctorphone,salary,basicsalary,hra,allowance,deductions,grosssalary,netsalary,doctoraddress,speacification,doj"
"1001,Dr Arun,Cardiology,Chennai,arun1001@hospital.com,pass123,9000000001,60000,50000,8000,5000,2000,61000,63000,Chennai,Heart Specialist,2021-01-10"
"1002,Dr Bala,Neurology,Bangalore,bala1002@hospital.com,pass123,9000000002,62000,52000,8000,5000,2000,63000,65000,Bangalore,Neuro Specialist,2021-02-15"
"1003,Dr Charan,Orthopedic,Hyderabad,charan1003@hospital.com,pass123,9000000003,58000,48000,8000,5000,2000,59000,61000,Hyderabad,Bone Specialist,2021-03-20"
"1004,Dr Devi,Pediatrics,Chennai,devi1004@hospital.com,pass123,9000000004,55000,45000,7000,5000,2000,55000,57000,Chennai,Child Specialist,2021-04-12"
"1005,Dr Eswar,General,Coimbatore,eswar1005@hospital.com,pass123,9000000005,54000,44000,7000,5000,2000,54000,56000,Coimbatore,General Physician,2021-05-10"
"1006,Dr Farhan,Cardiology,Mumbai,farhan1006@hospital.com,pass123,9000000006,65000,55000,8000,5000,2000,66000,68000,Mumbai,Heart Specialist,2021-06-01"
"1007,Dr Gopal,ENT,Delhi,gopal1007@hospital.com,pass123,9000000007,50000,42000,6000,5000,2000,51000,53000,Delhi,ENT Specialist,2021-07-09"
"1008,Dr Hari,Dermatology,Chennai,hari1008@hospital.com,pass123,9000000008,52000,43000,6000,5000,2000,52000,54000,Chennai,Skin Specialist,2021-08-14"
"1009,Dr Indu,Neurology,Bangalore,indu1009@hospital.com,pass123,9000000009,64000,54000,8000,5000,2000,65000,67000,Bangalore,Neuro Specialist,2021-09-11"
"1010,Dr John,Orthopedic,Kochi,john1010@hospital.com,pass123,9000000010,56000,46000,7000,5000,2000,56000,58000,Kochi,Bone Specialist,2021-10-10"
"1011,Dr Kiran,Pediatrics,Hyderabad,kiran1011@hospital.com,pass123,9000000011,54000,44000,7000,5000,2000,54000,56000,Hyderabad,Child Specialist,2021-11-08"
"1012,Dr Lakshmi,General,Chennai,lakshmi1012@hospital.com,pass123,9000000012,53000,43000,7000,5000,2000,53000,55000,Chennai,Physician,2021-12-12"
"1013,Dr Manoj,Cardiology,Pune,manoj1013@hospital.com,pass123,9000000013,66000,56000,8000,5000,2000,67000,69000,Pune,Heart Specialist,2022-01-11"
"1014,Dr Nisha,ENT,Mumbai,nisha1014@hospital.com,pass123,9000000014,51000,42000,6000,5000,2000,51000,53000,Mumbai,ENT Specialist,2022-02-17"
"1015,Dr Omkar,Dermatology,Pune,omkar1015@hospital.com,pass123,9000000015,52000,43000,6000,5000,2000,52000,54000,Pune,Skin Specialist,2022-03-05"
"1016,Dr Priya,Neurology,Chennai,priya1016@hospital.com,pass123,9000000016,64000,54000,8000,5000,2000,65000,67000,Chennai,Neuro Specialist,2022-04-21"
"1017,Dr Qureshi,General,Delhi,qureshi1017@hospital.com,pass123,9000000017,52000,43000,7000,5000,2000,53000,55000,Delhi,Physician,2022-05-13"
"1018,Dr Ramesh,Orthopedic,Bangalore,ramesh1018@hospital.com,pass123,9000000018,58000,48000,7000,5000,2000,58000,60000,Bangalore,Bone Specialist,2022-06-19"
"1019,Dr Shanti,Pediatrics,Hyderabad,shanti1019@hospital.com,pass123,9000000019,54000,44000,7000,5000,2000,54000,56000,Hyderabad,Child Specialist,2022-07-25"
"1020,Dr Thomas,Cardiology,Kochi,thomas1020@hospital.com,pass123,9000000020,65000,55000,8000,5000,2000,66000,68000,Kochi,Heart Specialist,2022-08-11"
